"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"AGM00060461","ORAN PORT, AG","1995-10-27",,"69",,"62"
"AGM00060461","ORAN PORT, AG","1995-10-29","0.00","71","76","65"
"AGM00060461","ORAN PORT, AG","1995-11-02",,"73","78",
"AGM00060461","ORAN PORT, AG","1995-11-03",,"72","74",
"AGM00060461","ORAN PORT, AG","1995-11-08",,"64","68","59"
"AGM00060461","ORAN PORT, AG","1995-11-11",,"74","84","66"
"AGM00060461","ORAN PORT, AG","1995-11-14","0.04","64","70","58"
"AGM00060461","ORAN PORT, AG","1995-12-14",,"56","63",
"AGM00060461","ORAN PORT, AG","1995-12-17",,"63",,
"AGM00060461","ORAN PORT, AG","1996-01-09",,"65","75","59"
"AGM00060461","ORAN PORT, AG","1996-01-23",,"62",,
"AGM00060461","ORAN PORT, AG","1996-02-01","0.08","63","69","58"
"AGM00060461","ORAN PORT, AG","1996-02-05","1.06","59",,"56"
"AGM00060461","ORAN PORT, AG","1996-02-12","1.14","57",,
"AGM00060461","ORAN PORT, AG","1996-02-18",,"54",,"49"
"AGM00060461","ORAN PORT, AG","1996-03-06",,"60","63","54"
"AGM00060461","ORAN PORT, AG","1996-03-10","0.16","57","58","54"
"AGM00060461","ORAN PORT, AG","1996-03-20",,"61",,"57"
"AGM00060461","ORAN PORT, AG","1996-04-08",,"62","66",
"AGM00060461","ORAN PORT, AG","1996-04-17",,"68",,"63"
"AGM00060461","ORAN PORT, AG","1996-04-20",,"63","64",
"AGM00060461","ORAN PORT, AG","1996-04-22",,"69","72","63"
"AGM00060461","ORAN PORT, AG","1996-04-23",,"64","65",
"AGM00060461","ORAN PORT, AG","1996-04-24",,"62",,
"AGM00060461","ORAN PORT, AG","1996-04-26",,"61","62",
"AGM00060461","ORAN PORT, AG","1996-04-30",,"68","71",
"AGM00060461","ORAN PORT, AG","1996-05-11","0.79","63",,"61"
"AGM00060461","ORAN PORT, AG","1996-05-15",,"68",,"56"
"AGM00060461","ORAN PORT, AG","1996-05-23",,"64",,"61"
"AGM00060461","ORAN PORT, AG","1996-06-03",,"68","70",
"AGM00060461","ORAN PORT, AG","1996-06-06",,"69","71","66"
"AGM00060461","ORAN PORT, AG","1996-06-09",,"69",,"68"
"AGM00060461","ORAN PORT, AG","1996-06-10",,"71",,"69"
"AGM00060461","ORAN PORT, AG","1996-06-14",,"73",,"70"
"AGM00060461","ORAN PORT, AG","1996-06-22",,"72",,"69"
"AGM00060461","ORAN PORT, AG","1996-07-10",,"72","73",
"AGM00060461","ORAN PORT, AG","1996-08-02",,"76","78","73"
"AGM00060461","ORAN PORT, AG","1996-08-24",,"79","86",
"AGM00060461","ORAN PORT, AG","1996-08-28",,"82","100",
"AGM00060461","ORAN PORT, AG","1996-08-30",,"74",,"70"
"AGM00060461","ORAN PORT, AG","1996-10-05",,"66","72","59"
"AGM00060461","ORAN PORT, AG","1996-10-08",,"65",,"57"
"AGM00060461","ORAN PORT, AG","1996-10-11",,"65","69","59"
"AGM00060461","ORAN PORT, AG","1996-10-24",,"65","67","59"
"AGM00060461","ORAN PORT, AG","1996-11-06",,"65","68","60"
"AGM00060461","ORAN PORT, AG","1996-12-18",,"64",,"61"
"AGM00060461","ORAN PORT, AG","1997-03-14",,"57",,"49"
"AGM00060461","ORAN PORT, AG","1997-05-01",,"64","65",
"AGM00060461","ORAN PORT, AG","1997-06-22",,"76","80","72"
"AGM00060461","ORAN PORT, AG","1997-07-21",,"74",,"69"
"AGM00060461","ORAN PORT, AG","1997-09-23",,"74",,"71"
"AGM00060461","ORAN PORT, AG","1997-11-03",,"72","85","63"
"AGM00060461","ORAN PORT, AG","1997-12-05","0.35","53","56",
"AGM00060461","ORAN PORT, AG","1997-12-27","0.04","58",,
"AGM00060461","ORAN PORT, AG","1998-10-10",,"65","67",
"AGM00060461","ORAN PORT, AG","2001-05-25",,"67",,"64"
"AGM00060461","ORAN PORT, AG","2001-05-26",,"75","82",
"AGM00060461","ORAN PORT, AG","2001-05-29",,"69","70",
"AGM00060461","ORAN PORT, AG","2001-05-30",,"68","71","66"
"AGM00060461","ORAN PORT, AG","2001-05-31",,"69","70","67"
"AGM00060461","ORAN PORT, AG","2001-06-01",,"69","71","68"
"AGM00060461","ORAN PORT, AG","2001-06-02",,"68","71","64"
"AGM00060461","ORAN PORT, AG","2001-06-03",,"76","80","72"
"AGM00060461","ORAN PORT, AG","2001-06-05",,"70","71","67"
"AGM00060461","ORAN PORT, AG","2001-06-06",,"71","72","69"
"AGM00060461","ORAN PORT, AG","2001-06-07",,"71","73","70"
"AGM00060461","ORAN PORT, AG","2001-06-08",,"71",,"69"
"AGM00060461","ORAN PORT, AG","2001-06-12",,"68","68",
"AGM00060461","ORAN PORT, AG","2001-06-13",,"70","75","64"
"AGM00060461","ORAN PORT, AG","2001-06-15",,"76","78",
"AGM00060461","ORAN PORT, AG","2001-06-16",,"78","83","74"
"AGM00060461","ORAN PORT, AG","2001-06-17",,"72","75","70"
"AGM00060461","ORAN PORT, AG","2001-06-18",,"71","73","70"
"AGM00060461","ORAN PORT, AG","2001-06-19",,"71","73","71"
"AGM00060461","ORAN PORT, AG","2001-06-20",,"70","71","69"
"AGM00060461","ORAN PORT, AG","2001-06-21",,"71","72","69"
"AGM00060461","ORAN PORT, AG","2001-06-22",,"71","80","67"
"AGM00060461","ORAN PORT, AG","2001-06-23",,"73","77","71"
"AGM00060461","ORAN PORT, AG","2001-06-24",,"75","77","74"
"AGM00060461","ORAN PORT, AG","2001-06-25",,"74","76","73"
"AGM00060461","ORAN PORT, AG","2001-06-26",,"80","86","74"
"AGM00060461","ORAN PORT, AG","2001-06-27",,"81","85","74"
"AGM00060461","ORAN PORT, AG","2001-06-28",,"74","77",
"AGM00060461","ORAN PORT, AG","2001-06-29",,"73",,"70"
"AGM00060461","ORAN PORT, AG","2001-07-02",,"72","74","70"
"AGM00060461","ORAN PORT, AG","2001-07-03",,"73","74","70"
"AGM00060461","ORAN PORT, AG","2001-07-04",,"77","82","71"
"AGM00060461","ORAN PORT, AG","2001-07-05",,"77","81","74"
"AGM00060461","ORAN PORT, AG","2001-07-06",,"75",,"70"
"AGM00060461","ORAN PORT, AG","2001-07-07",,"72","76","69"
"AGM00060461","ORAN PORT, AG","2001-07-08",,"74","76","71"
"AGM00060461","ORAN PORT, AG","2001-07-09",,"76",,"73"
"AGM00060461","ORAN PORT, AG","2001-07-10",,"73",,"70"
"AGM00060461","ORAN PORT, AG","2001-07-11",,"75","79","72"
"AGM00060461","ORAN PORT, AG","2001-07-12",,"74","76","73"
"AGM00060461","ORAN PORT, AG","2001-07-13",,"75","76","73"
"AGM00060461","ORAN PORT, AG","2001-07-14",,"87","95","75"
"AGM00060461","ORAN PORT, AG","2001-07-15",,"78","86",
"AGM00060461","ORAN PORT, AG","2001-07-16",,"77","83","73"
"AGM00060461","ORAN PORT, AG","2001-07-17",,"77","80","72"
"AGM00060461","ORAN PORT, AG","2001-07-18",,"85","90","75"
"AGM00060461","ORAN PORT, AG","2001-07-19",,"75","80",
"AGM00060461","ORAN PORT, AG","2001-07-20",,"73","76","68"
"AGM00060461","ORAN PORT, AG","2001-07-21",,"75","76","74"
"AGM00060461","ORAN PORT, AG","2001-07-22",,"75","77","73"
"AGM00060461","ORAN PORT, AG","2001-07-24",,"74","76","72"
"AGM00060461","ORAN PORT, AG","2001-07-25",,"77","83",
"AGM00060461","ORAN PORT, AG","2001-07-26",,"75","77",
"AGM00060461","ORAN PORT, AG","2001-07-28",,"76","79",
"AGM00060461","ORAN PORT, AG","2001-07-29",,"77","78","76"
"AGM00060461","ORAN PORT, AG","2001-07-30",,"80","86","76"
"AGM00060461","ORAN PORT, AG","2001-07-31",,"74","79",
"AGM00060461","ORAN PORT, AG","2001-08-01",,"79","84","75"
